train_idx,val_idx,test_idx
23204,1792.0,54902.0
23309,44634.0,17466.0
5076,17595.0,24114.0
63891,47432.0,8979.0
10280,35000.0,994.0
22913,23346.0,6456.0
5308,28139.0,69749.0
82303,56649.0,84828.0
81421,29271.0,30662.0
73852,74111.0,54706.0
84688,77538.0,81498.0
33209,61624.0,60239.0
53306,20415.0,54778.0
11331,44080.0,50211.0
85107,50459.0,11099.0
63223,1370.0,2971.0
62792,42758.0,14311.0
68542,73130.0,70638.0
11096,10279.0,73439.0
34752,34300.0,22758.0
23605,18412.0,26884.0
23851,69151.0,74662.0
6758,1388.0,77512.0
75730,38606.0,33925.0
40681,80220.0,77875.0
42432,47044.0,84680.0
17307,67860.0,85299.0
13741,54750.0,10271.0
29649,17605.0,12487.0
4614,37796.0,51202.0
7821,12590.0,19020.0
54300,26993.0,56716.0
39485,43100.0,50048.0
80187,22569.0,73184.0
68963,43933.0,34086.0
77043,561.0,35578.0
81428,26041.0,28763.0
64314,1034.0,45972.0
53513,33097.0,8452.0
14013,37278.0,3036.0
12102,47008.0,39649.0
14869,63786.0,26389.0
53725,31425.0,19212.0
84879,83854.0,77998.0
36086,42860.0,86468.0
75818,46096.0,80154.0
52753,17998.0,72098.0
59576,49419.0,33548.0
2322,17884.0,30790.0
374,86537.0,18525.0
18666,71594.0,69303.0
20484,53599.0,67433.0
73783,11131.0,15878.0
81620,14519.0,12731.0
33903,4599.0,41892.0
15010,39615.0,75149.0
70140,4727.0,22377.0
35803,43429.0,17869.0
48911,34158.0,30390.0
36287,3393.0,72988.0
55992,82382.0,59909.0
70355,48418.0,76960.0
26766,31851.0,54183.0
75721,64720.0,32013.0
78678,62173.0,77420.0
52455,81713.0,64433.0
25315,314.0,13765.0
73069,32277.0,76041.0
34177,6448.0,47318.0
38252,17714.0,82146.0
2450,85135.0,61307.0
33237,12545.0,42026.0
49679,73626.0,55236.0
63860,79629.0,69850.0
32289,38999.0,44946.0
51333,63435.0,9411.0
46530,62140.0,66742.0
26146,6962.0,10212.0
28937,18685.0,52526.0
69762,56279.0,62735.0
62542,61479.0,57908.0
16902,85317.0,54414.0
46087,30223.0,77678.0
38987,75223.0,77991.0
4416,21255.0,66044.0
29957,4279.0,82824.0
11542,52450.0,84271.0
59005,65007.0,44530.0
3713,77140.0,33610.0
49058,76785.0,27784.0
71597,55431.0,12346.0
42792,58332.0,81173.0
43260,65577.0,34.0
54084,54408.0,81530.0
53016,76013.0,49406.0
31714,30812.0,37859.0
65011,69776.0,9484.0
64601,79009.0,40656.0
43904,67418.0,37036.0
8021,64756.0,44144.0
52173,58774.0,70634.0
26967,14329.0,71221.0
82387,52441.0,81039.0
29183,22217.0,46987.0
2737,46713.0,82963.0
33396,18092.0,39624.0
45614,49329.0,13876.0
72744,81362.0,70215.0
7964,59466.0,17278.0
11491,37467.0,15757.0
64423,43537.0,15182.0
60017,56002.0,8844.0
9494,75996.0,28888.0
66685,69485.0,58520.0
35639,56410.0,63500.0
10761,30047.0,37642.0
5946,57461.0,54015.0
72398,63808.0,82496.0
19427,56171.0,43675.0
69032,78906.0,17657.0
67402,13852.0,49321.0
31465,39924.0,71603.0
70335,74956.0,2247.0
44342,64127.0,79179.0
69423,44089.0,7340.0
72925,86200.0,70420.0
30636,48961.0,80394.0
54124,13540.0,31355.0
7905,30265.0,83823.0
45116,33374.0,66423.0
729,83668.0,33636.0
28263,85333.0,9883.0
31079,2753.0,1005.0
59839,21856.0,82854.0
49599,15812.0,84716.0
35184,60617.0,2409.0
62959,59927.0,1253.0
3070,64150.0,85927.0
8641,73917.0,2617.0
69646,20438.0,32960.0
80,22782.0,80945.0
60549,34165.0,41097.0
6519,37689.0,19246.0
84829,60193.0,69170.0
57129,10682.0,25740.0
5987,62138.0,50012.0
