train_idx,val_idx,test_idx
0,132.0,151.0
1,133.0,152.0
2,134.0,153.0
3,135.0,154.0
4,136.0,155.0
5,137.0,156.0
6,138.0,157.0
7,139.0,158.0
8,140.0,159.0
9,141.0,160.0
10,142.0,161.0
11,143.0,162.0
12,144.0,163.0
13,145.0,164.0
14,146.0,165.0
15,147.0,166.0
16,148.0,167.0
17,149.0,168.0
18,150.0,169.0
19,175.0,170.0
20,176.0,171.0
21,177.0,172.0
22,178.0,173.0
23,179.0,174.0
24,180.0,595.0
25,181.0,596.0
26,182.0,597.0
27,183.0,598.0
28,184.0,599.0
29,185.0,600.0
30,186.0,601.0
31,398.0,602.0
32,399.0,603.0
33,400.0,604.0
34,401.0,605.0
35,402.0,606.0
36,403.0,607.0
37,404.0,608.0
38,405.0,609.0
39,406.0,610.0
40,407.0,611.0
41,408.0,612.0
42,409.0,613.0
43,410.0,614.0
44,411.0,615.0
45,412.0,616.0
46,413.0,617.0
47,434.0,618.0
48,435.0,619.0
49,436.0,620.0
50,437.0,621.0
51,438.0,622.0
52,439.0,623.0
53,440.0,624.0
54,441.0,625.0
55,442.0,626.0
56,443.0,627.0
57,444.0,628.0
58,445.0,629.0
59,446.0,630.0
60,447.0,631.0
61,448.0,632.0
62,449.0,633.0
63,450.0,634.0
64,451.0,635.0
65,452.0,636.0
66,468.0,637.0
67,469.0,638.0
68,470.0,639.0
69,471.0,640.0
70,472.0,910.0
71,473.0,911.0
72,474.0,912.0
73,475.0,913.0
74,476.0,914.0
75,477.0,915.0
76,478.0,916.0
77,479.0,917.0
78,480.0,918.0
79,481.0,919.0
80,482.0,920.0
81,483.0,921.0
82,484.0,922.0
83,485.0,923.0
84,486.0,924.0
85,641.0,925.0
86,642.0,926.0
87,643.0,927.0
88,644.0,928.0
89,645.0,929.0
90,646.0,949.0
91,647.0,950.0
92,648.0,951.0
93,649.0,952.0
94,650.0,953.0
95,651.0,954.0
96,652.0,955.0
97,653.0,956.0
98,654.0,957.0
99,655.0,958.0
100,723.0,959.0
101,724.0,960.0
102,725.0,961.0
103,726.0,962.0
104,727.0,963.0
105,728.0,964.0
106,729.0,965.0
107,730.0,966.0
108,731.0,1021.0
109,732.0,1022.0
110,733.0,1023.0
111,734.0,1024.0
112,735.0,1025.0
113,736.0,1026.0
114,737.0,1027.0
115,738.0,1028.0
116,739.0,1029.0
117,740.0,1030.0
118,741.0,1031.0
119,742.0,1032.0
120,743.0,1033.0
121,744.0,1034.0
122,745.0,1035.0
123,746.0,1036.0
124,747.0,1037.0
125,748.0,1038.0
126,749.0,1039.0
127,750.0,1040.0
128,751.0,1041.0
129,752.0,1056.0
130,753.0,1057.0
131,754.0,1058.0
187,755.0,1059.0
188,756.0,1060.0
189,757.0,1061.0
190,758.0,1062.0
191,759.0,1063.0
192,760.0,1064.0
193,761.0,1065.0
194,762.0,1066.0
195,763.0,1067.0
196,764.0,1068.0
197,765.0,1069.0
198,766.0,1070.0
199,767.0,1071.0
200,768.0,1072.0
201,769.0,1073.0
202,770.0,1277.0
203,771.0,1278.0
204,772.0,1279.0
205,773.0,1280.0
206,774.0,1281.0
207,775.0,1282.0
208,776.0,1283.0
209,777.0,1284.0
210,778.0,1285.0
211,779.0,1286.0
212,780.0,1287.0
213,781.0,1288.0
214,782.0,1289.0
215,783.0,1290.0
216,784.0,1291.0
217,785.0,1292.0
218,786.0,1293.0
219,787.0,1294.0
220,788.0,1295.0
221,789.0,1296.0
222,790.0,1297.0
223,791.0,1298.0
224,792.0,1299.0
225,793.0,1300.0
226,794.0,1301.0
227,795.0,1302.0
228,796.0,1303.0
229,797.0,1304.0
230,798.0,1305.0
231,799.0,1306.0
232,800.0,1307.0
233,801.0,1308.0
234,802.0,1309.0
235,803.0,1310.0
236,804.0,1311.0
237,805.0,1312.0
238,999.0,1313.0
239,1000.0,1314.0
240,1001.0,1315.0
241,1002.0,1316.0
242,1003.0,1317.0
243,1004.0,1318.0
244,1005.0,1337.0
245,1006.0,1338.0
246,1007.0,1339.0
247,1008.0,1340.0
248,1009.0,1341.0
249,1010.0,1342.0
250,1011.0,1343.0
251,1012.0,1344.0
252,1013.0,1345.0
253,1014.0,1590.0
254,1015.0,1591.0
255,1016.0,1592.0
256,1017.0,1593.0
257,1018.0,1594.0
258,1019.0,1595.0
259,1020.0,1596.0
260,1144.0,1597.0
261,1145.0,1598.0
262,1146.0,1599.0
263,1147.0,1600.0
264,1148.0,1601.0
