signal_idx,peak_idx
0,77
0,370
0,662
1,302
1,586
2,226
2,511
3,151
3,435
4,75
4,369
4,604
5,244
5,602
6,242
6,546
7,186
7,477
8,117
8,403
8,680
9,43
9,320
9,622
10,262
10,570
11,210
11,506
12,146
12,444
13,84
13,380
13,666
14,306
14,593
15,233
15,518
16,158
16,454
17,94
17,406
18,46
18,343
18,626
19,266
19,551
20,191
20,470
21,110
21,393
21,685
22,325
22,619
23,259
23,557
24,197
24,501
25,141
25,431
26,71
26,350
26,638
27,278
27,562
28,202
28,511
29,151
29,454
30,94
30,391
30,680
31,320
31,620
32,260
32,546
33,186
33,470
34,110
34,405
35,45
35,349
35,666
36,306
36,602
37,242
37,522
38,162
38,451
39,91
39,383
39,670
40,310
40,611
41,251
41,550
42,190
42,487
43,127
43,419
44,59
44,343
44,624
45,264
45,555
46,195
46,498
47,138
47,438
48,78
48,377
48,667
49,307
49,587
50,227
50,514
51,154
51,435
52,75
52,360
52,668
53,308
53,613
54,253
54,549
55,189
55,471
56,111
56,394
56,677
57,317
57,611
58,251
58,543
59,183
59,489
60,129
60,429
61,69
61,361
61,643
62,283
62,561
63,201
63,484
64,124
64,413
65,53
65,356
65,653
66,293
66,585
67,225
67,505
68,145
68,433
69,73
69,357
69,645
70,285
70,579
71,219
71,528
72,168
72,466
73,106
73,390
73,672
74,312
74,597
75,237
75,536
76,176
76,473
77,113
77,412
78,52
78,351
78,646
79,286
79,574
80,214
80,494
81,134
81,420
82,60
82,353
82,662
83,302
83,607
84,247
84,539
85,179
85,465
86,105
86,388
86,675
87,315
87,607
88,247
88,544
89,184
89,489
90,129
90,436
91,76
91,367
91,643
92,283
92,571
93,211
93,500
94,140
94,434
95,74
95,375
95,670
96,310
96,608
97,248
97,535
98,175
98,456
99,96
99,376
99,669
100,309
100,605
101,245
101,556
102,196
102,495
103,135
103,419
104,59
104,342
104,631
105,271
105,556
106,196
106,491
107,131
107,430
108,70
108,372
108,667
109,307
109,585
110,225
110,496
111,136
111,422
112,62
112,357
112,650
113,290
113,591
114,231
114,527
115,167
115,449
116,89
116,356
116,655
117,295
117,577
118,217
118,516
119,156
119,467
120,107
120,403
121,43
121,332
121,612
122,252
122,535
123,175
123,463
124,103
124,390
124,683
125,323
125,627
126,267
126,564
127,204
127,484
128,124
128,398
128,679
129,38
129,319
129,597
130,237
130,534
131,174
131,472
132,112
132,399
132,682
133,39
133,322
133,605
134,245
134,526
135,166
135,440
136,80
136,363
136,658
137,298
137,603
138,243
138,534
139,174
139,451
140,91
140,371
140,656
141,296
141,579
142,219
142,506
143,146
143,441
144,81
144,376
144,666
145,306
145,584
146,224
146,503
147,143
147,421
148,61
148,351
148,642
149,282
149,579
150,219
150,507
151,147
151,424
152,64
152,344
152,623
153,263
153,544
154,184
154,467
155,107
155,407
156,47
156,342
156,624
157,264
157,535
158,175
158,453
159,93
159,375
159,660
160,300
160,592
161,232
161,530
162,170
162,468
163,108
163,397
163,674
164,37
164,314
164,591
165,231
165,519
166,159
166,454
167,94
167,395
168,35
168,337
168,625
169,265
169,551
170,191
170,480
171,120
171,403
172,43
172,327
172,627
173,267
173,571
174,211
174,514
175,154
175,438
176,78
176,351
176,638
177,278
177,568
178,208
178,501
179,141
179,436
180,76
180,374
180,664
181,304
181,590
182,230
182,510
183,150
183,427
184,67
184,364
184,551
185,191
185,530
186,170
186,474
187,114
187,408
188,48
188,327
188,622
189,262
189,554
190,194
190,486
191,126
191,430
192,70
192,383
192,676
193,316
193,593
194,233
194,517
195,157
195,442
196,82
196,381
196,679
197,319
197,619
198,259
198,565
199,205
199,498
200,138
200,417
201,57
201,343
201,638
202,278
202,581
203,221
203,531
204,171
204,471
205,111
205,395
205,683
206,35
206,323
206,607
207,247
207,466
208,106
208,452
209,92
209,392
210,334
210,633
211,273
211,555
212,195
212,465
213,105
213,394
214,326
214,623
215,263
215,554
216,194
216,491
217,131
217,419
218,59
218,344
218,620
219,260
219,546
220,186
220,489
221,129
221,431
222,71
222,370
222,663
223,303
223,588
224,228
224,512
225,152
225,439
226,79
226,370
226,670
227,310
227,615
228,255
228,556
229,196
229,487
230,127
230,409
231,49
231,332
231,634
232,274
232,583
233,223
233,527
234,167
234,469
235,109
235,410
236,50
236,343
236,620
237,260
237,550
238,190
238,491
239,131
239,438
240,78
240,380
240,679
241,319
241,604
242,244
242,532
243,172
243,461
244,101
244,392
245,330
245,634
246,274
246,575
247,215
247,501
248,141
248,423
249,63
249,348
249,646
250,286
250,590
251,230
251,524
252,164
252,470
253,110
253,401
253,681
254,41
254,321
254,606
255,246
255,538
256,178
256,473
257,113
257,424
258,64
258,366
258,654
259,294
259,584
260,224
260,502
261,142
261,435
262,75
262,373
262,676
263,316
263,618
