train_idx,val_idx,test_idx
0,7.0,8.0
1,9.0,32.0
2,21.0,33.0
3,23.0,48.0
4,25.0,50.0
5,34.0,54.0
6,39.0,56.0
10,40.0,66.0
11,41.0,67.0
12,42.0,69.0
13,53.0,82.0
14,60.0,89.0
15,63.0,98.0
16,80.0,101.0
17,83.0,102.0
18,113.0,103.0
19,120.0,105.0
20,128.0,107.0
22,129.0,108.0
24,131.0,114.0
26,140.0,115.0
27,145.0,118.0
28,146.0,133.0
29,152.0,136.0
30,156.0,142.0
31,158.0,147.0
35,161.0,149.0
36,163.0,154.0
37,165.0,170.0
38,168.0,172.0
43,173.0,177.0
44,174.0,178.0
45,183.0,201.0
46,184.0,202.0
47,185.0,204.0
49,192.0,206.0
51,197.0,213.0
52,199.0,257.0
55,221.0,273.0
57,241.0,296.0
58,242.0,298.0
59,247.0,311.0
61,265.0,312.0
62,280.0,318.0
64,287.0,327.0
65,289.0,330.0
68,295.0,335.0
70,299.0,344.0
71,302.0,351.0
72,317.0,353.0
73,328.0,363.0
74,336.0,371.0
75,346.0,386.0
76,360.0,387.0
77,364.0,405.0
78,368.0,409.0
79,399.0,414.0
81,415.0,422.0
84,418.0,439.0
85,423.0,447.0
86,436.0,456.0
87,438.0,458.0
88,450.0,469.0
90,459.0,476.0
91,471.0,483.0
92,477.0,484.0
93,480.0,512.0
94,495.0,537.0
95,516.0,541.0
96,526.0,543.0
97,553.0,549.0
99,574.0,562.0
100,591.0,577.0
104,592.0,582.0
106,596.0,584.0
109,607.0,587.0
110,612.0,588.0
111,617.0,595.0
112,635.0,599.0
116,648.0,609.0
117,650.0,615.0
119,655.0,618.0
121,665.0,623.0
122,667.0,624.0
123,678.0,637.0
124,684.0,654.0
125,696.0,661.0
126,697.0,681.0
127,699.0,687.0
130,708.0,706.0
132,716.0,711.0
134,718.0,719.0
135,733.0,724.0
137,740.0,734.0
138,746.0,736.0
139,761.0,737.0
141,763.0,739.0
143,772.0,742.0
144,779.0,745.0
148,780.0,748.0
150,792.0,781.0
151,796.0,785.0
153,844.0,797.0
155,849.0,807.0
157,850.0,809.0
159,860.0,814.0
160,864.0,821.0
162,875.0,827.0
164,886.0,832.0
166,891.0,840.0
167,911.0,846.0
169,924.0,847.0
171,926.0,855.0
175,950.0,861.0
176,957.0,872.0
179,964.0,883.0
180,969.0,890.0
181,1001.0,898.0
182,1021.0,901.0
186,1023.0,903.0
187,1057.0,905.0
188,1069.0,912.0
189,1100.0,920.0
190,1107.0,936.0
191,1111.0,954.0
193,1118.0,959.0
194,1120.0,973.0
195,1121.0,975.0
196,1123.0,982.0
198,1128.0,986.0
200,1139.0,988.0
203,1153.0,993.0
205,1157.0,1012.0
207,1159.0,1016.0
208,1170.0,1020.0
209,1189.0,1039.0
210,1207.0,1047.0
211,1213.0,1049.0
212,1238.0,1050.0
214,1239.0,1067.0
215,1246.0,1074.0
216,1253.0,1079.0
217,1265.0,1087.0
218,1268.0,1097.0
219,1295.0,1104.0
220,1309.0,1124.0
222,1311.0,1125.0
223,1322.0,1132.0
224,1323.0,1140.0
225,1325.0,1145.0
226,1336.0,1148.0
227,1356.0,1150.0
228,1375.0,1154.0
229,1386.0,1174.0
230,1409.0,1183.0
231,1417.0,1205.0
232,1420.0,1222.0
233,1427.0,1244.0
234,1429.0,1245.0
235,1437.0,1251.0
236,1443.0,1254.0
237,1447.0,1256.0
238,1457.0,1261.0
239,1471.0,1274.0
240,1490.0,1307.0
243,1498.0,1310.0
244,1500.0,1315.0
245,1521.0,1318.0
246,1523.0,1338.0
248,1528.0,1339.0
249,1532.0,1342.0
250,1580.0,1345.0
251,1598.0,1346.0
252,1600.0,1347.0
253,1610.0,1353.0
254,1617.0,1355.0
255,1623.0,1366.0
256,1626.0,1370.0
258,1627.0,1374.0
259,1635.0,1377.0
260,1642.0,1382.0
261,1643.0,1384.0
262,1647.0,1396.0
263,1650.0,1402.0
264,1656.0,1412.0
266,1666.0,1415.0
267,1673.0,1419.0
268,1684.0,1425.0
269,1711.0,1428.0
270,1723.0,1432.0
271,1726.0,1435.0
272,1744.0,1440.0
274,1749.0,1442.0
275,1753.0,1453.0
276,1761.0,1464.0
277,1776.0,1466.0
278,1783.0,1479.0
279,1784.0,1487.0
281,1790.0,1491.0
282,1791.0,1494.0
283,1800.0,1497.0
284,1802.0,1502.0
285,1803.0,1513.0
286,1821.0,1526.0
288,1824.0,1530.0
290,1837.0,1531.0
291,1838.0,1570.0
292,1841.0,1575.0
293,1849.0,1587.0
294,1854.0,1604.0
297,1855.0,1619.0
300,1857.0,1625.0
301,1862.0,1631.0
303,1866.0,1652.0
304,1871.0,1654.0
305,1875.0,1657.0
306,1884.0,1659.0
307,1890.0,1664.0
308,1896.0,1665.0
309,1914.0,1674.0
310,1916.0,1683.0
313,1935.0,1694.0
314,1941.0,1695.0
315,1964.0,1703.0
316,1970.0,1706.0
319,1992.0,1715.0
320,1994.0,1717.0
321,2002.0,1725.0
322,2014.0,1727.0
323,2017.0,1738.0
324,2018.0,1748.0
325,2022.0,1751.0
326,2030.0,1756.0
329,2031.0,1759.0
331,2049.0,1760.0
332,2053.0,1763.0
333,2063.0,1770.0
334,2071.0,1777.0
337,2083.0,1807.0
338,2084.0,1819.0
339,2091.0,1830.0
340,2101.0,1831.0
341,2105.0,1836.0
342,2118.0,1840.0
343,2134.0,1842.0
345,2157.0,1846.0
347,2161.0,1847.0
348,2179.0,1850.0
349,2190.0,1863.0
350,2192.0,1873.0
352,2199.0,1874.0
354,2201.0,1876.0
355,2202.0,1878.0
356,2225.0,1883.0
357,2227.0,1886.0
358,2228.0,1887.0
359,2234.0,1901.0
361,2235.0,1906.0
362,2243.0,1919.0
365,2246.0,1922.0
366,2258.0,1934.0
367,2265.0,1946.0
369,2272.0,1975.0
370,2280.0,1978.0
372,2283.0,1982.0
373,2294.0,1983.0
374,2297.0,1988.0
375,2306.0,1996.0
376,2310.0,2006.0
377,2322.0,2012.0
378,2340.0,2027.0
379,2349.0,2028.0
380,2352.0,2039.0
381,2358.0,2050.0
382,2379.0,2080.0
383,2382.0,2081.0
384,2385.0,2102.0
385,2405.0,2111.0
388,2418.0,2112.0
389,2440.0,2131.0
390,2452.0,2141.0
391,2470.0,2144.0
392,2472.0,2150.0
393,2482.0,2151.0
394,2502.0,2154.0
395,2526.0,2156.0
396,2527.0,2170.0
397,2528.0,2174.0
398,2534.0,2183.0
400,2540.0,2191.0
401,2554.0,2198.0
402,2562.0,2204.0
403,2578.0,2213.0
404,2580.0,2215.0
406,2590.0,2217.0
407,2596.0,2245.0
408,2605.0,2248.0
410,2617.0,2254.0
411,2628.0,2255.0
412,2631.0,2256.0
413,2635.0,2260.0
416,2641.0,2261.0
417,2654.0,2267.0
419,2659.0,2270.0
420,2665.0,2271.0
421,2686.0,2273.0
424,2696.0,2274.0
425,2701.0,2291.0
426,2721.0,2292.0
427,2724.0,2311.0
428,2754.0,2333.0
429,2758.0,2338.0
430,2768.0,2344.0
431,2776.0,2351.0
432,2777.0,2357.0
433,2784.0,2363.0
434,2788.0,2373.0
435,2809.0,2377.0
437,2813.0,2388.0
440,2821.0,2398.0
441,2822.0,2402.0
442,2834.0,2406.0
443,2847.0,2415.0
444,2851.0,2419.0
445,2869.0,2434.0
446,2874.0,2444.0
448,2885.0,2448.0
449,2895.0,2449.0
451,2900.0,2456.0
452,2907.0,2480.0
453,2909.0,2491.0
454,2914.0,2503.0
455,2921.0,2507.0
457,2922.0,2533.0
460,2932.0,2559.0
461,2936.0,2561.0
462,2937.0,2563.0
463,2940.0,2566.0
464,2943.0,2574.0
465,2944.0,2576.0
466,2946.0,2581.0
467,2955.0,2586.0
468,2961.0,2593.0
470,2963.0,2600.0
472,2981.0,2612.0
473,2992.0,2633.0
474,2995.0,2639.0
475,3001.0,2656.0
478,3010.0,2669.0
479,3013.0,2689.0
481,3024.0,2695.0
482,3025.0,2703.0
485,3027.0,2708.0
486,3044.0,2709.0
487,3092.0,2714.0
488,3101.0,2716.0
489,3109.0,2717.0
490,3112.0,2728.0
491,3123.0,2734.0
492,3128.0,2744.0
493,3151.0,2762.0
494,3161.0,2766.0
496,3164.0,2771.0
497,3175.0,2780.0
498,3179.0,2782.0
499,3181.0,2787.0
500,3196.0,2789.0
501,3207.0,2791.0
502,3212.0,2794.0
503,3213.0,2801.0
504,3226.0,2807.0
505,3229.0,2808.0
506,3237.0,2812.0
507,3243.0,2823.0
508,3247.0,2828.0
509,3249.0,2831.0
510,3250.0,2835.0
511,3252.0,2838.0
513,3257.0,2857.0
514,3262.0,2860.0
515,3279.0,2862.0
517,3280.0,2864.0
518,3286.0,2867.0
519,3295.0,2871.0
520,3299.0,2908.0
521,3308.0,2933.0
522,3311.0,2938.0
523,3313.0,2942.0
524,3318.0,2984.0
525,3326.0,2993.0
527,3343.0,2996.0
528,3354.0,3006.0
529,3378.0,3014.0
530,3398.0,3017.0
531,3410.0,3018.0
532,3427.0,3021.0
533,3434.0,3022.0
534,3451.0,3026.0
535,3465.0,3031.0
536,3466.0,3033.0
538,3467.0,3042.0
539,3468.0,3049.0
540,3477.0,3050.0
542,3485.0,3051.0
544,3511.0,3064.0
545,3514.0,3074.0
546,3532.0,3076.0
547,3543.0,3099.0
548,3583.0,3108.0
550,3587.0,3129.0
551,3589.0,3136.0
552,3592.0,3139.0
554,3599.0,3147.0
555,3607.0,3155.0
556,3611.0,3162.0
557,3620.0,3166.0
558,3632.0,3170.0
559,3643.0,3178.0
560,3648.0,3190.0
561,3662.0,3198.0
563,3663.0,3202.0
564,3669.0,3220.0
